FileName,SPDXID,LicenseConcluded,LicenseComment,LicenseInfoInFile,FileCopyrightText
percona-toolkit-3.x.zip/percona-toolkit-3.x/sandbox/servers/5.6/sys/functions/ps_is_instrument_default_enabled.sql,SPDXRef-item6203,NOASSERTION,,"GPL-2.0",NOASSERTION                                    
percona-toolkit-3.x.zip/percona-toolkit-3.x/src/go/tests/expect/fingerprints/mapreduce_3.4.12,SPDXRef-item9493,NOASSERTION,,"NOASSERTION",NOASSERTION                                    
percona-toolkit-3.x.zip/percona-toolkit-3.x/src/go/tests/expect/fingerprints/geonear_3.4.12,SPDXRef-item9519,NOASSERTION,,"NOASSERTION",NOASSERTION                                    
percona-toolkit-3.x.zip/percona-toolkit-3.x/sandbox/servers/5.6/sys/mysql-test/suite/sysschema/t/v_user_summary_by_statement_type.test,SPDXRef-item5968,NOASSERTION,,"NOASSERTION",NOASSERTION                                    
percona-toolkit-3.x.zip/percona-toolkit-3.x/sandbox/servers/mariadb/10.4/data.tar.gz/data.tar/data/mysql/db.MAI,SPDXRef-item6289,NOASSERTION,,"NOASSERTION",NOASSERTION                                    
percona-toolkit-3.x.zip/percona-toolkit-3.x/lib/TcpdumpParser.pm,SPDXRef-item9844,NOASSERTION,,"GPL-2.0 AND Artistic-1.0",NOASSERTION                                    
percona-toolkit-3.x.zip/percona-toolkit-3.x/t/pt-duplicate-key-checker/samples/fk_chosen_index_bug_1201443.sql,SPDXRef-item8177,NOASSERTION,,"NOASSERTION",NOASSERTION                                    
percona-toolkit-3.x.zip/percona-toolkit-3.x/t/pt-duplicate-key-checker/samples/issue_663.sql,SPDXRef-item8170,NOASSERTION,,"NOASSERTION",NOASSERTION                                    
percona-toolkit-3.x.zip/percona-toolkit-3.x/t/lib/samples/slowlogs/slowlogwriter002.txt,SPDXRef-item8729,NOASSERTION,,"NOASSERTION",NOASSERTION                                    
percona-toolkit-3.x.zip/percona-toolkit-3.x/sandbox/servers/mariadb/10.4/data.tar.gz/data.tar/data/mysql/global_priv.MAD,SPDXRef-item6303,NOASSERTION,,"NOASSERTION",NOASSERTION                                    
percona-toolkit-3.x.zip/percona-toolkit-3.x/t/pt-online-schema-change/samples/bug-1340728.sql,SPDXRef-item7824,NOASSERTION,,"NOASSERTION",NOASSERTION                                    
percona-toolkit-3.x.zip/percona-toolkit-3.x/t/pt-archiver/issue_1593265.t,SPDXRef-item8103,NOASSERTION,,"NOASSERTION",NOASSERTION                                    
percona-toolkit-3.x.zip/percona-toolkit-3.x/t/pt-summary/samples/BSD/freebsd_001/processes,SPDXRef-item8331,NOASSERTION,,"NOASSERTION",NOASSERTION                                    
